,Artists,Songs,Rating,Votes,Difficulty,Chords
873,misc children,twinkle twinkle little star,4.74,598,novice,"['C', 'F', 'G7']"
874,oasis,wonderwall,4.72,351,novice,"['Dsus4', 'Em7', 'G', 'Gsus2', 'Dadd4/F#', 'A7sus4', 'Cadd9', 'Em11']"
875,bobby helms,jingle bell rock,4.79,1246,intermediate,"['D6', 'G', 'E', 'D', 'Gm', 'D7', 'E7', 'Dmaj7', 'B7', 'A7', 'A', 'Em']"
876,phil collins,youll be in my heart,4.82,828,,"['Em7', 'D/A', 'C', 'G', 'Gsus2', 'E', 'Gm', 'D', 'B', 'F', 'Bm', 'C#m', 'F#m', 'G#m', 'A', 'Bb']"
877,stealers wheel,stuck in the middle with you,4.76,1389,intermediate,"['D6', 'D5', 'Am7add11', 'C', 'G', 'D', 'G7', 'D7', 'D7sus2', 'A']"
878,adele,chasing pavements,4.60,143,novice,"['Fm7', 'Gm/Bb', 'F7-9', 'Bb7-9', 'F7sus4', 'G7', 'Bb7', 'Gm', 'Ab7', 'Ab9', 'Gm7/Bb', 'Ab-5', 'Gm7', 'Fm/Ab', 'Cm7', 'Ab', 'Eb', 'Cm']"
879,atmosfera,berakhirlah sudah,4.75,32,novice,"['C', 'Am', 'G', 'F', 'Em']"
880,red hot chili peppers,scar tissue,4.76,839,,"['F', 'C', 'Dm', 'Fsus2']"
881,michael jackson,billie jean,4.62,608,,"['Bm', 'D', 'C#7', 'F#m']"
882,dj snake,let me love you,4.81,498,novice,"['C', 'Am', 'G', 'F', 'Dm', 'Em']"
883,blind melon,no rain,4.79,1670,,"['G', 'E', 'D', 'E7', 'A']"
884,damien rice,cannonball,4.71,596,,"['Em7', 'G', 'C', 'D', 'G/F#', 'Cadd9']"
885,daniela andrade,la vie en rose,4.88,666,novice,"['D', 'G6', 'Dmaj7/F#', 'F#m7', 'A7', 'Em']"
886,bon jovi,always,4.81,575,,"['G', 'B', 'E', 'D', 'Bm', 'C#m', 'F#m', 'G#m', 'A']"
887,adele,one and only,4.84,363,intermediate,"['Dm7', 'Fsus4', 'C', 'Am', 'Gm', 'F', 'Dm', 'Cadd9', 'Eb', 'Bb']"
888,michael jackson,beat it,4.70,525,,"['C', 'Em', 'D']"
889,b o b,airplanes,4.56,353,novice,"['C', 'Em', 'G']"
890,iaxe,akoy sa iyo ikay akin,4.61,22,,"['Bm7', 'AM7', 'C#m7', 'E', 'D', 'Dm', 'F#m7', 'C#m', 'F#m', 'A7', 'DM7', 'A']"
891,fall out boy,sugar were going down,4.84,1055,,"['G', 'C', 'D', 'Bm', 'F#m', 'A', 'Em']"
892,iron wine,flightless bird american mouth,4.89,1443,novice,"['C', 'Am', 'G', 'F']"
893,andra day,rise up,4.86,1330,novice,"['C', 'Am', 'G', 'F']"
894,misc cartoons,frozen let it go,4.71,555,,"['C', 'Am', 'G', 'E', 'D', 'B', 'Bm', 'C#m', 'A', 'Em', 'Bb']"
895,kelly clarkson,breakaway,4.80,486,,"['G', 'Am', 'C', 'D', 'F']"
896,all sons daughters,great are you lord,4.79,1224,novice,"['E', 'D', 'Asus', 'F#m', 'A', 'D2']"
897,frank sinatra,my way,4.84,1519,intermediate,"['Bm7', 'Em7', 'Asus4', 'Em7/D', 'G', 'D', 'Gm', 'D7', 'Dmaj7', 'B7', 'Em7/C#', 'A7', 'Gsus4', 'A', 'Em', 'F#m']"
898,coldplay,hymn for the weekend,4.82,996,novice,"['Dm', 'Am', 'G', 'F']"
899,amy winehouse,valerie,4.75,226,,"['B', 'E', 'F#m', 'G#m', 'A']"
900,corinne bailey rae,put your records on,4.82,1732,novice,"['G', 'C', 'Cmaj7', 'Cmmaj7', 'B7', 'A7', 'Am7', 'Em']"
901,misc soundtrack,dilan rindu sendiri,4.87,151,intermediate,"['Am', 'B', 'E', 'E9', 'F#', 'G#7', 'C#m', 'Bm', 'F#m', 'G#m', 'A', 'D#m']"
902,samsons,kenangan terindah,4.72,98,,"['C', 'Am', 'G', 'D', 'Dm', 'F', 'F#m', 'G#m', 'Em']"
903,lewis capaldi,before you go,4.87,2045,novice,"['Asus4', 'G', 'D', 'Bm', 'A']"
904,creed,one last breath,4.79,564,,"['G', 'D', 'F#', 'Bm', 'A', 'Em']"
905,the beatles,oh darling,4.82,847,,"['Bm7', 'F7', 'E', 'D', 'Bb7', 'E7', 'B7', 'F#m', 'E+', 'A7', 'A']"
906,colbie caillat,bubbly,4.86,1200,,"['G', 'C', 'Am', 'D', 'Bm', 'D/F#']"
907,sugarland,stay,4.84,836,,"['G', 'D', 'Bm', 'D/F#', 'A', 'Em', 'A#dim']"
908,bob dylan,knockin on heavens door,4.84,371,novice,"['G', 'C', 'D', 'Am']"
909,3 doors down,here without you,4.61,262,,"['G', 'Am', 'C', 'F']"
910,survivor,eye of the tiger,4.40,159,,"['Eb/G', 'Fm', 'Cm7', 'Ab', 'Eb', 'Cm', 'Bb']"
911,psy,gangnam style,4.05,227,novice,"['G', 'Am', 'E', 'F', 'A']"
912,john mayer,slow dancing in a burning room,4.70,273,novice,"['G', 'Am', 'C', 'F', 'Dm11']"
913,green day,holiday,4.76,1202,,"['B5', 'G5', 'D5', 'A5', 'C', 'B', 'G', 'C5', 'D', 'E', 'A', 'E5', 'F#5', 'Em']"
914,the beatles,let it be,4.70,574,novice,"['G', 'C', 'Em', 'D']"
915,adele,dont you remember,4.87,696,intermediate,"['G', 'D4', 'C', 'A4', 'Bm', 'G#m7', 'E', 'D', 'F/C', 'F#', 'D/F#', 'F#m', 'A', 'Em', 'Bb', 'Asus4', 'B', 'G#m', 'G#madd6', 'F#madd6', 'Dm', 'Dmaj7', 'Bsus4']"
916,sting,fields of gold,4.78,720,,"['Bm7', 'Dsus4', 'Bsus2', 'G', 'D', 'Bm', 'A', 'G/B']"
917,bruce springsteen,the river,4.81,2292,novice,"['G', 'C', 'Am', 'D', 'Em']"
918,the beatles,and i love her,4.86,1435,novice,"['B', 'E', 'Gm', 'D', 'Dm', 'C7', 'C#m', 'F', 'B7', 'F#m', 'G#m', 'A', 'Bb']"
919,incubus,drive,4.62,325,,"['Em7', 'Cmaj9', 'Cmaj7', 'A7', 'Em']"
920,lana del rey,video games,4.89,1185,,"['G', 'E', 'D', 'Dm', 'C#m', 'F#m', 'A']"
921,semisonic,closing time,4.86,1847,novice,"['G', 'Am', 'C', 'D', 'Ab', 'Eb', 'Cm', 'Bb']"
922,backstreet boys,i want it that way,4.68,373,,"['Em7', 'Dsus4', 'C', 'G', 'Am', 'E', 'D', 'B', 'Gm', 'Dsus2', 'F#m', 'Bsus4', 'A', 'Em']"
923,linkin park,in the end,4.68,359,,"['C', 'Em', 'D', 'G']"
924,lady gaga,poker face,4.71,217,,"['G', 'C', 'F', 'Bm', 'D/F#', 'Em']"
925,the cranberries,zombie,4.79,385,novice,"['Dsus4', 'C', 'Cmaj7', 'G', 'G6', 'D', 'D/F#', 'Em']"
926,daft punk,get lucky,4.76,986,novice,"['C', 'Am', 'Em', 'D']"
927,the smiths,please please please let me get what i want,4.87,1589,,"['C', 'G', 'Am', 'C7', 'Fmaj7', 'Gsus4', 'G/B', 'Em']"
928,fun ,we are young,4.82,1425,novice,"['C', 'Am', 'G', 'C/E', 'Dm', 'F', 'Gsus4', 'Em']"
929,iggy pop,the passenger,4.73,250,novice,"['G', 'Am', 'C', 'E', 'F']"
930,rihanna,fourfiveseconds,4.81,942,novice,"['C', 'G', 'Am', 'F', 'Dm', 'Gsus4', 'Em']"
931,drake,hotline bling,4.77,655,novice,"['C', 'Am', 'Em']"
932,sixpence none the richer,kiss me,4.77,365,novice,"['C', 'Cmaj7', 'G', 'C/B', 'Am', 'Dm', 'C7', 'Am/G', 'F', 'Fmaj7', 'Gsus4']"
933,chris cornell,like a stone,4.88,2106,advanced,"['Em7', 'Asus2', 'G', 'Am', 'C', 'E', 'D7', 'F', 'Fm', 'E7']"
934,ed sheeran,one,4.82,587,,"['G', 'D', 'Bm', 'D/C#', 'A', 'Em']"
935,misc praise songs,amazing grace,4.79,1848,novice,"['G', 'C', 'D', 'G7', 'Em']"
936,bob dylan,it aint me babe,4.84,1199,,"['G', 'C', 'Am', 'D', 'Bm']"
937,the beatles,dont let me down,4.63,248,,"['Amaj7/B', 'B', 'E', 'F#m7', 'Esus4', 'B7', 'F#m', 'F#m/B']"
938,anji,dia,4.91,316,novice,"['C', 'Am', 'G', 'C/E', 'E', 'D', 'F', 'Dm', 'G/B']"
939,chris brown,with you,4.54,138,novice,"['G', 'D', 'Bm', 'F#m7', 'A']"
940,mark lowry,mary did you know,4.74,406,,"['C', 'G', 'Am', 'D', 'B7sus4', 'D/F#', 'B7', 'Am7', 'Em', 'D2']"
941,lynyrd skynyrd,simple man,4.83,2653,novice,"['C', 'Am', 'Am7', 'G']"
942,khalid,location,4.84,845,novice,"['Em7', 'E7', 'Gm7', 'Fmaj7', 'C11sus2', 'Am7', 'Dm9', 'G#m7']"
943,pamungkas,one only,4.93,204,novice,"['C', 'Cmaj7', 'G', 'Am', 'F', 'Fm', 'Dm', 'Em']"
944,third eye blind,jumper,4.49,214,,"['C', 'Am', 'G']"
945,alicia keys,girl on fire,4.74,767,novice,"['G', 'C', 'D', 'Bm', 'Em']"
946,magnus haven,imahe,4.78,164,intermediate,"['DM7', 'C#m', 'E', 'Bm']"
947,boys like girls,two is better than one,4.27,42,novice,"['C', 'Am', 'G', 'F']"
948,the killers,when you were young,4.81,646,novice,"['A#m', 'B', 'E', 'F#', 'C#m', 'G#m', 'D#m']"
949,natalie imbruglia,torn,4.86,1131,,"['C', 'G', 'Am', 'F', 'Em']"
950,dean lewis,be alright,4.85,3224,novice,"['C', 'Em', 'D', 'G']"
951,taylor swift,mean,4.80,645,,"['G', 'Bm', 'A', 'D']"
952,fleetwood mac,landslide,4.80,1095,novice,"['G', 'C', 'Am', 'C/B', 'B', 'D', 'G/F#', 'D7', 'D/F#', 'Am7', 'A', 'Em']"
953,deep purple,soldier of fortune,4.84,570,,"['Dm7', 'C', 'G', 'Gm', 'D', 'Dm', 'F', 'Eb', 'Cm', 'Bb']"
954,taylor swift,ours,4.87,767,novice,"['Em7', 'G', 'D', 'D/F#', 'Cadd9']"
955,kari jobe,forever,4.86,1359,novice,"['G', 'C', 'D', 'G/B', 'Em']"
956,the beatles,love me do,4.67,367,novice,"['G', 'C', 'D', 'F', 'C/G']"
957,queen,under pressure,4.74,816,novice,"['G', 'C', 'D', 'F', 'A']"
958,kid rock,all summer long,4.82,1029,novice,"['C', 'D', 'G']"
959,bon iver,re stacks,4.89,738,intermediate,"['Dsus4', 'Em7', 'G', 'C', 'D', 'D7sus4', 'Cadd9', 'Am7']"
960,led zeppelin,stairway to heaven,4.65,1345,,"['Em/D', 'G', 'Am', 'C', 'D', 'F', 'D/F#', 'Fmaj7', 'C/D', 'Ammaj9', 'Am7']"
961,florida georgia line,cruise,4.82,761,novice,"['G', 'C', 'Em7', 'D']"
962,avril lavigne,my happy ending,4.67,478,,"['G', 'E', 'D', 'Bm', 'A', 'Em']"
963,richard marx,right here waiting,4.70,369,,"['Dm7', 'G', 'B', 'C', 'E', 'D', 'Am', 'F', 'A']"
964,shinedown,simple man,4.85,1121,,"['C', 'Am', 'G']"
965,prince,purple rain,4.77,1752,novice,"['G', 'C', 'Em', 'D']"
966,taylor swift,white horse,4.57,174,novice,"['C', 'G', 'Am', 'F', 'G/B', 'Bb']"
967,oasis,stop crying your heart out,4.86,855,intermediate,"['Em7', 'Asus2', 'Asus4', 'Esus', 'G', 'E', 'D', 'Bm', 'Bmadd11']"
968,yeng constantino,ikaw,4.80,112,intermediate,"['C#', 'C', 'Am', 'G#', 'C/E', 'Gm', 'F', 'Dm', 'Fm', 'Cm', 'Bb']"
969,sia,cheap thrills,4.85,397,novice,"['C', 'Em', 'D', 'G']"
970,up dharma down,tadhana,4.73,63,,"['Bmaj7', 'Bsus2', 'C#', 'D#m7', 'G#m']"
971,evanescence,my immortal,4.45,173,,"['G', 'C', 'C/B', 'Am', 'D', 'Bm', 'Em']"
972,stone sour,through glass,4.60,571,novice,"['C', 'Em', 'D7']"
973,adele,all i ask,4.88,388,,"['C7/E', 'B/D#', 'Gm', 'G#/D#', 'F/A', 'B/A', 'B7', 'C#7/F', 'E', 'C/E', 'D7', 'C7', 'D/F#', 'F#m', 'A', 'E/G#', 'E/D', 'G#/C', 'B', 'E/B', 'F#m7/B', 'G#m', 'C#7', 'Dm7', 'G#', 'Bb/C', 'F', 'F#m7', 'C#m', 'C7sus4', 'A/B']"
974,acdc,you shook me all night long,4.71,1228,novice,"['Dsus4', 'G', 'C', 'D', 'G/B']"
975,coldplay,the scientist,4.79,869,novice,"['D6', 'Em7', 'C', 'G', 'D7', 'Gmaj7']"
976,john lennon,working class hero,4.86,1263,intermediate,"['G', 'Am', 'D']"
977,misc cartoons,coco remember me lullaby,4.83,804,,"['C', 'Am', 'G', 'G7', 'Fm', 'C7', 'E7', 'F', 'Em', 'Bb']"
978,parokya ni edgar,halaga,4.79,68,novice,"['G', 'Bm', 'A', 'D']"
979,ed sheeran,small bump,4.84,1038,novice,"['G', 'Am', 'C', 'D', 'D/F#', 'Cadd9', 'Em']"
980,robbie williams,angels,4.83,1210,intermediate,"['C#m7', 'B', 'E', 'D', 'A/C#', 'Bm', 'C#m', 'F#m', 'A', 'E/G#']"
981,hillsong worship,mighty to save,4.48,90,novice,"['C', 'Em', 'D', 'G']"
982,bob marley,one love people get ready,4.77,483,,"['E', 'D', 'F', 'F#m', 'A', 'Eb', 'Bb']"
983,amanda seyfried,little house,4.87,331,novice,"['C', 'Em', 'D', 'G']"
984,vanessa williams,colors of the wind,4.80,523,,"['C', 'Am', 'G', 'Dm', 'F', 'Em']"
985,the temptations,my girl,4.75,1032,intermediate,"['Dm7', 'C', 'G', 'C(maj7)', 'D', 'F', 'Dm', 'F#m', 'A', 'Em']"
986,john mayer,your body is a wonderland,4.63,377,intermediate,"['Asus4', 'Gadd9', 'Bm9', 'G', 'D', 'Asus', 'F#m', 'Em']"
987,the black keys,little black submarines,4.86,2041,novice,"['G', 'Am', 'B', 'C', 'D', 'A']"
988,tab,1446000,4.67,94,novice,"['Gb', 'C', 'Am', 'E', 'F', 'Bbm', 'F/Ab', 'E/G', 'Db']"
989,walk the moon,shut up and dance,4.80,413,novice,"['G', 'C', 'Em', 'D']"
990,ed sheeran,the a team,4.72,246,novice,"['Dadd9', 'G', 'C', 'Cadd9', 'D#', 'F#m', 'Am7', 'Em']"
991,maroon 5,maps,4.82,293,,"['B', 'G#', 'C#m', 'F#m', 'A']"
992,cyndi lauper,true colors,4.55,154,,"['Dm7', 'G', 'Am', 'C', 'F', 'Dm', 'F9', 'Em']"
993,sia,elastic heart,4.87,881,,"['C', 'Em', 'D', 'G']"
994,tracy chapman,fast car,4.81,583,,"['Cmaj7', 'C', 'G', 'D', 'Dadd11', 'Em']"
995,lessons guitar,all the chords,4.92,2670,,['A']
996,the marshall tucker band,cant you see,4.80,1964,,"['C', 'D', 'G']"
997,creedence clearwater revival,fortunate son,4.65,457,,"['G', 'F', 'D', 'C']"
998,no doubt,dont speak,4.82,1145,novice,"['B5', 'G5', 'Em7', 'D5', 'C', 'B', 'Am', 'C5', 'D', 'G#5', 'F', 'Bm', 'F#m', 'E5', 'A', 'Em', 'Bb']"
999,alicia keys,no one,4.77,509,novice,"['C', 'Am', 'G', 'F']"
