,Artists,Songs,Rating,Votes,Difficulty,Chords
194,labrinth,jealous,4.85,1351,,"['F7', 'C', 'G', 'Bb7', 'F7b9', 'Eb', 'Fm7', 'Abmaj7', 'Cm', 'C7', 'Gbdim7', 'Ebmaj7', 'Ab', 'Bb', 'Bb7-9', 'Am', 'G7', 'Fm', 'F', 'Dm', 'Cm7', 'Db7-9']"
195,luis fonsi,despacito,4.80,1285,novice,"['G', 'Bm', 'A', 'D']"
196,bruno mars,count on me,4.81,1738,novice,"['C', 'Am', 'G', 'F', 'Dm', 'Em']"
197,avicii,wake me up,4.79,2270,novice,"['G', 'D', 'F#', 'Bm', 'A']"
198,nirvana,where did you sleep last night,4.83,1915,,"['G', 'B', 'A', 'E']"
199,john denver,take me home country roads,4.82,1815,intermediate,"['G', 'C', 'E', 'D', 'D7', 'F', 'E7', 'F#m', 'A', 'Em']"
200,chris tomlin,how great is our god,4.77,1163,,"['Em7', 'G', 'C', 'D', 'C2']"
201,chuck berry,johnny b goode,4.76,789,,"['F', 'Eb', 'Go', 'Bb']"
202,coldplay,fix you,4.73,1415,,"['C', 'Am', 'Cmaj7', 'G', 'F', 'C/G', 'Fmaj7']"
203,adam sandler,grow old with you,4.88,1537,,"['E', 'D', 'Bm', 'C#m', 'A7', 'A']"
204,misc christmas,jingle bells,4.71,1806,novice,"['G', 'C', 'Am', 'D', 'D7', 'A7']"
205,andmesh kamaleng,hanya rindu,4.88,243,novice,"['C', 'Am', 'G', 'E', 'D', 'Bm', 'F#m', 'A', 'G/B', 'Em']"
206,the killers,mr brightside,4.86,3930,,"['C', 'C/B', 'G', 'Am', 'F']"
207,one direction,what makes you beautiful,4.48,256,novice,"['B', 'A', 'E']"
208,owl city,fireflies,4.78,1644,novice,"['G', 'C', 'Am', 'D', 'F', 'Em']"
209,creedence clearwater revival,bad moon rising,4.84,6184,novice,"['G', 'A', 'D']"
210,judy garland,have yourself a merry little christmas,4.81,3151,,"['Em7', 'Bbdim', 'G', 'Cmaj7', 'Am', 'F#7', 'D', 'G7', 'D7', 'Bm', 'E7', 'Cm6', 'B7', 'A7', 'Am7', 'Em', 'Gmaj7']"
211,counting crows,mr jones,4.83,3034,,"['G', 'Am', 'C', 'F', 'Dm', 'Fmaj7']"
212,ellie goulding,your song,4.87,1925,novice,"['G', 'C', 'Am', 'D', 'G/F#', 'A', 'Em']"
213,the calling,wherever you will go,4.82,807,,"['C', 'Am', 'G', 'F', 'Em', 'Gadd11/B']"
214,sam smith,stay with me,4.81,926,novice,"['F', 'Am', 'G', 'C']"
